"PCB.cir","Reference Designator","LMS-Number","SAP-Number","Usage","Status","Value","Parttype","Ex component","Cluster test","Package_tech","VariantenManagment","Package Name","Description"
"","reference","partName","partNumber","Traffic_Light","Status","Value","Parttype","Ex_component","Cluster_test","Package_tech","variation","packageName","Description"
"1.cmp1202","R111","LMS-000796","LMS-000796","green","pre","10R","","","","S","","SMD_0603_H0.6","R Chip 10R0 +-5%  0,1  W TK 200     0603"
"1.cmp1203","R112","LMS-000796","LMS-000796","green","pre","10R","","","","S","","SMD_0603_H0.6","R Chip 10R0 +-5%  0,1  W TK 200     0603"
"1.cmp1204","R113","LMS-000796","LMS-000796","green","pre","10R","","","","S","","SMD_0603_H0.6","R Chip 10R0 +-5%  0,1  W TK 200     0603"
"1.cmp1205","R114","LMS-000045","50092700","green","","10K","","","","S","","SMD_0603_H0.6","SMD-R-CHIP  10K  0,1W  1%  50ppm 603   *"
"1.cmp1330","R115","LMS-000061","50092714","green","","100K","","","","S","","SMD_0603_H0.6","SMD-R-CHIP 100K  0,1W  1%  50ppm 603   *"
"2.cmp816","R116","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp837","R117","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp864","R118","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp885","R119","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp841","R120","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp828","R121","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp876","R122","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp889","R123","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
"2.cmp846","R124","LMS-000027","50092685","green","","1K","","","","S","","SMD_0603_H0.6","SMD-R-Chip   1K  0,1W  1%  50ppm 603  *"
